layer,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test,layer_name
0,ARG0,0.62,0.0,1273,50,411,19,embedding
0,ARG1,0.86,0.9247311827956989,1273,50,1123,43,embedding
0,ARG2,0.66,0.7951807228915663,1273,50,859,33,embedding
0,neg,0.94,0.0,1273,50,55,3,embedding
0,time,0.94,0.0,1273,50,185,3,embedding
1,ARG0,0.78,0.6666666666666666,1273,50,411,19,layer_1
1,ARG1,0.86,0.9230769230769231,1273,50,1123,43,layer_1
1,ARG2,0.74,0.8059701492537313,1273,50,859,33,layer_1
1,neg,0.94,0.0,1273,50,55,3,layer_1
1,time,0.96,0.5,1273,50,185,3,layer_1
2,ARG0,0.76,0.625,1273,50,411,19,layer_2
2,ARG1,0.84,0.9130434782608695,1273,50,1123,43,layer_2
2,ARG2,0.72,0.7878787878787878,1273,50,859,33,layer_2
2,neg,0.94,0.0,1273,50,55,3,layer_2
2,time,1.0,1.0,1273,50,185,3,layer_2
3,ARG0,0.8,0.7222222222222222,1273,50,411,19,layer_3
3,ARG1,0.86,0.9247311827956989,1273,50,1123,43,layer_3
3,ARG2,0.78,0.8307692307692308,1273,50,859,33,layer_3
3,neg,0.94,0.0,1273,50,55,3,layer_3
3,time,1.0,1.0,1273,50,185,3,layer_3
4,ARG0,0.86,0.8,1273,50,411,19,layer_4
4,ARG1,0.9,0.945054945054945,1273,50,1123,43,layer_4
4,ARG2,0.76,0.8064516129032258,1273,50,859,33,layer_4
4,neg,0.96,0.5,1273,50,55,3,layer_4
4,time,0.96,0.6666666666666666,1273,50,185,3,layer_4
5,ARG0,0.84,0.7647058823529411,1273,50,411,19,layer_5
5,ARG1,0.9,0.945054945054945,1273,50,1123,43,layer_5
5,ARG2,0.72,0.7586206896551724,1273,50,859,33,layer_5
5,neg,0.96,0.5,1273,50,55,3,layer_5
5,time,0.98,0.8,1273,50,185,3,layer_5
6,ARG0,0.9,0.8571428571428571,1273,50,411,19,layer_6
6,ARG1,0.9,0.9438202247191011,1273,50,1123,43,layer_6
6,ARG2,0.72,0.7741935483870968,1273,50,859,33,layer_6
6,neg,0.96,0.5,1273,50,55,3,layer_6
6,time,0.98,0.8,1273,50,185,3,layer_6
7,ARG0,0.86,0.7741935483870968,1273,50,411,19,layer_7
7,ARG1,0.92,0.9545454545454546,1273,50,1123,43,layer_7
7,ARG2,0.72,0.7878787878787878,1273,50,859,33,layer_7
7,neg,0.96,0.5,1273,50,55,3,layer_7
7,time,1.0,1.0,1273,50,185,3,layer_7
8,ARG0,0.84,0.75,1273,50,411,19,layer_8
8,ARG1,0.9,0.9425287356321839,1273,50,1123,43,layer_8
8,ARG2,0.78,0.8307692307692308,1273,50,859,33,layer_8
8,neg,0.96,0.5,1273,50,55,3,layer_8
8,time,1.0,1.0,1273,50,185,3,layer_8
9,ARG0,0.84,0.7894736842105263,1273,50,411,19,layer_9
9,ARG1,0.88,0.9318181818181818,1273,50,1123,43,layer_9
9,ARG2,0.78,0.835820895522388,1273,50,859,33,layer_9
9,neg,0.96,0.5,1273,50,55,3,layer_9
9,time,1.0,1.0,1273,50,185,3,layer_9
10,ARG0,0.86,0.8,1273,50,411,19,layer_10
10,ARG1,0.92,0.9555555555555556,1273,50,1123,43,layer_10
10,ARG2,0.72,0.78125,1273,50,859,33,layer_10
10,neg,0.96,0.5,1273,50,55,3,layer_10
10,time,0.98,0.8571428571428571,1273,50,185,3,layer_10
11,ARG0,0.9,0.8571428571428571,1273,50,411,19,layer_11
11,ARG1,0.92,0.9555555555555556,1273,50,1123,43,layer_11
11,ARG2,0.8,0.84375,1273,50,859,33,layer_11
11,neg,0.96,0.5,1273,50,55,3,layer_11
11,time,0.98,0.8571428571428571,1273,50,185,3,layer_11
12,ARG0,0.86,0.8,1273,50,411,19,layer_12
12,ARG1,0.92,0.9555555555555556,1273,50,1123,43,layer_12
12,ARG2,0.8,0.8529411764705882,1273,50,859,33,layer_12
12,neg,0.96,0.5,1273,50,55,3,layer_12
12,time,1.0,1.0,1273,50,185,3,layer_12
