language,feature,best_layer,best_layer_name,best_accuracy,best_f1
am-ET,ARG0,0,embedding,0.62,0.0
am-ET,ARG1,0,embedding,0.86,0.9247311827956989
am-ET,ARG2,0,embedding,0.66,0.7951807228915663
am-ET,neg,0,embedding,0.94,0.0
am-ET,time,0,embedding,0.94,0.0
es-ES,ARG0,8,layer_8,0.86,0.8108108108108109
es-ES,ARG1,7,layer_7,0.9,0.9438202247191011
es-ES,ARG2,12,layer_12,0.78,0.835820895522388
es-ES,neg,6,layer_6,0.96,0.5
es-ES,time,5,layer_5,0.98,0.8571428571428571
fr-FR,ARG0,7,layer_7,0.8431372549019608,0.8260869565217391
fr-FR,ARG1,6,layer_6,0.9019607843137255,0.946236559139785
fr-FR,ARG2,5,layer_5,0.6862745098039216,0.7647058823529411
fr-FR,neg,0,embedding,0.9411764705882353,0.0
fr-FR,time,5,layer_5,0.9607843137254902,0.5
my-MM,ARG0,1,layer_1,0.68,0.3333333333333333
my-MM,ARG1,0,embedding,0.86,0.9247311827956989
my-MM,ARG2,0,embedding,0.66,0.7951807228915663
my-MM,neg,0,embedding,0.94,0.0
my-MM,time,0,embedding,0.94,0.0
af-ZA,ARG0,6,layer_6,0.8,0.7058823529411765
af-ZA,ARG1,0,embedding,0.86,0.9247311827956989
af-ZA,ARG2,1,layer_1,0.7,0.810126582278481
af-ZA,neg,0,embedding,0.94,0.0
af-ZA,time,0,embedding,0.94,0.0
fa-IR,ARG0,6,layer_6,0.84,0.8
fa-IR,ARG1,0,embedding,0.86,0.9247311827956989
fa-IR,ARG2,5,layer_5,0.74,0.8311688311688312
fa-IR,neg,0,embedding,0.94,0.0
fa-IR,time,8,layer_8,0.96,0.5
sq-AL,ARG0,12,layer_12,0.86,0.8108108108108109
sq-AL,ARG1,8,layer_8,0.92,0.9555555555555556
sq-AL,ARG2,10,layer_10,0.8,0.8611111111111112
sq-AL,neg,0,embedding,0.94,0.0
sq-AL,time,12,layer_12,0.96,0.5
sw-KE,ARG0,9,layer_9,0.82,0.7272727272727273
sw-KE,ARG1,6,layer_6,0.88,0.9333333333333333
sw-KE,ARG2,5,layer_5,0.72,0.7941176470588235
sw-KE,neg,0,embedding,0.94,0.0
sw-KE,time,0,embedding,0.94,0.0
ta-IN,ARG0,5,layer_5,0.76,0.6842105263157895
ta-IN,ARG1,0,embedding,0.86,0.9247311827956989
