language,feature,best_layer,best_layer_name,best_accuracy,best_f1
am-ET,ARG0,12,layer_12,0.64,0.1
am-ET,ARG1,0,embedding,0.86,0.9247311827956989
am-ET,ARG2,9,layer_9,0.68,0.8048780487804879
am-ET,neg,0,embedding,0.94,0.0
am-ET,time,0,embedding,0.94,0.0
es-ES,ARG0,0,embedding,0.62,0.0
es-ES,ARG1,0,embedding,0.86,0.9247311827956989
es-ES,ARG2,3,layer_3,0.68,0.8048780487804879
es-ES,neg,0,embedding,0.94,0.0
es-ES,time,0,embedding,0.94,0.0
fr-FR,ARG0,0,embedding,0.6078431372549019,0.0
fr-FR,ARG1,0,embedding,0.8627450980392157,0.9263157894736842
fr-FR,ARG2,3,layer_3,0.6666666666666666,0.7848101265822784
fr-FR,neg,0,embedding,0.9411764705882353,0.0
fr-FR,time,0,embedding,0.9411764705882353,0.0
ta-IN,ARG0,12,layer_12,0.66,0.19047619047619047
ta-IN,ARG1,0,embedding,0.86,0.9247311827956989
ta-IN,ARG2,12,layer_12,0.72,0.825
ta-IN,neg,0,embedding,0.94,0.0
ta-IN,time,0,embedding,0.94,0.0
sq-AL,ARG0,12,layer_12,0.64,0.18181818181818182
sq-AL,ARG1,0,embedding,0.86,0.9247311827956989
sq-AL,ARG2,1,layer_1,0.7,0.8148148148148148
sq-AL,neg,0,embedding,0.94,0.0
sq-AL,time,0,embedding,0.94,0.0
fa-IR,ARG0,0,embedding,0.62,0.0
fa-IR,ARG1,0,embedding,0.86,0.9247311827956989
fa-IR,ARG2,1,layer_1,0.7,0.8148148148148148
fa-IR,neg,0,embedding,0.94,0.0
fa-IR,time,0,embedding,0.94,0.0
af-ZA,ARG0,12,layer_12,0.66,0.19047619047619047
af-ZA,ARG1,0,embedding,0.86,0.9247311827956989
af-ZA,ARG2,1,layer_1,0.68,0.8
af-ZA,neg,0,embedding,0.94,0.0
af-ZA,time,0,embedding,0.94,0.0
my-MM,ARG0,12,layer_12,0.68,0.3333333333333333
my-MM,ARG1,0,embedding,0.86,0.9247311827956989
my-MM,ARG2,12,layer_12,0.68,0.8048780487804879
my-MM,neg,0,embedding,0.94,0.0
my-MM,time,0,embedding,0.94,0.0
sw-KE,ARG0,12,layer_12,0.64,0.1
sw-KE,ARG1,0,embedding,0.86,0.9247311827956989
sw-KE,ARG2,12,layer_12,0.68,0.8
sw-KE,neg,0,embedding,0.94,0.0
sw-KE,time,0,embedding,0.94,0.0
ca-ES,ARG0,12,layer_12,0.64,0.1
ca-ES,ARG1,0,embedding,0.86,0.9247311827956989
ca-ES,ARG2,1,layer_1,0.7,0.8148148148148148
ca-ES,neg,0,embedding,0.94,0.0
ca-ES,time,0,embedding,0.94,0.0
he-IL,ARG0,0,embedding,0.62,0.0
he-IL,ARG1,0,embedding,0.86,0.9247311827956989
he-IL,ARG2,3,layer_3,0.68,0.8048780487804879
he-IL,neg,0,embedding,0.94,0.0
he-IL,time,0,embedding,0.94,0.0
ar-SA,ARG0,0,embedding,0.62,0.0
ar-SA,ARG1,0,embedding,0.86,0.9247311827956989
ar-SA,ARG2,12,layer_12,0.76,0.8461538461538461
ar-SA,neg,0,embedding,0.94,0.0
ar-SA,time,0,embedding,0.94,0.0
jv-ID,ARG0,0,embedding,0.62,0.0
jv-ID,ARG1,0,embedding,0.86,0.9247311827956989
jv-ID,ARG2,12,layer_12,0.7,0.8051948051948052
jv-ID,neg,0,embedding,0.94,0.0
jv-ID,time,0,embedding,0.94,0.0
hu-HU,ARG0,12,layer_12,0.64,0.1
hu-HU,ARG1,0,embedding,0.86,0.9247311827956989
hu-HU,ARG2,1,layer_1,0.68,0.8048780487804879
hu-HU,neg,0,embedding,0.94,0.0
hu-HU,time,0,embedding,0.94,0.0
nb-NO,ARG0,0,embedding,0.62,0.0
nb-NO,ARG1,0,embedding,0.86,0.9247311827956989
nb-NO,ARG2,1,layer_1,0.68,0.8048780487804879
nb-NO,neg,0,embedding,0.94,0.0
nb-NO,time,0,embedding,0.94,0.0
ur-PK,ARG0,0,embedding,0.62,0.0
ur-PK,ARG1,0,embedding,0.86,0.9247311827956989
ur-PK,ARG2,0,embedding,0.66,0.7951807228915663
ur-PK,neg,0,embedding,0.94,0.0
ur-PK,time,0,embedding,0.94,0.0
lv-LV,ARG0,0,embedding,0.62,0.0
lv-LV,ARG1,0,embedding,0.86,0.9247311827956989
lv-LV,ARG2,1,layer_1,0.68,0.8048780487804879
lv-LV,neg,0,embedding,0.94,0.0
lv-LV,time,0,embedding,0.94,0.0
ml-IN,ARG0,0,embedding,0.62,0.0
ml-IN,ARG1,0,embedding,0.86,0.9247311827956989
ml-IN,ARG2,0,embedding,0.66,0.7951807228915663
ml-IN,neg,0,embedding,0.94,0.0
ml-IN,time,0,embedding,0.94,0.0
ko-KR,ARG0,0,embedding,0.62,0.0
ko-KR,ARG1,0,embedding,0.86,0.9247311827956989
ko-KR,ARG2,1,layer_1,0.68,0.8048780487804879
ko-KR,neg,0,embedding,0.94,0.0
ko-KR,time,0,embedding,0.94,0.0
sl-SL,ARG0,0,embedding,0.62,0.0
sl-SL,ARG1,0,embedding,0.86,0.9247311827956989
sl-SL,ARG2,1,layer_1,0.74,0.8354430379746836
sl-SL,neg,0,embedding,0.94,0.0
sl-SL,time,0,embedding,0.94,0.0
hi-IN,ARG0,0,embedding,0.62,0.0
hi-IN,ARG1,0,embedding,0.86,0.9247311827956989
hi-IN,ARG2,0,embedding,0.66,0.7951807228915663
hi-IN,neg,0,embedding,0.94,0.0
hi-IN,time,0,embedding,0.94,0.0
kn-IN,ARG0,12,layer_12,0.66,0.19047619047619047
kn-IN,ARG1,0,embedding,0.86,0.9247311827956989
kn-IN,ARG2,12,layer_12,0.68,0.8048780487804879
kn-IN,neg,0,embedding,0.94,0.0
kn-IN,time,0,embedding,0.94,0.0
tl-PH,ARG0,0,embedding,0.62,0.0
tl-PH,ARG1,0,embedding,0.86,0.9247311827956989
tl-PH,ARG2,5,layer_5,0.68,0.8048780487804879
tl-PH,neg,0,embedding,0.94,0.0
tl-PH,time,0,embedding,0.94,0.0
en-US,ARG0,0,embedding,0.62,0.0
en-US,ARG1,0,embedding,0.86,0.9247311827956989
en-US,ARG2,1,layer_1,0.68,0.8
en-US,neg,0,embedding,0.94,0.0
en-US,time,0,embedding,0.94,0.0
th-TH,ARG0,10,layer_10,0.7,0.34782608695652173
th-TH,ARG1,0,embedding,0.86,0.9247311827956989
th-TH,ARG2,3,layer_3,0.7,0.8148148148148148
th-TH,neg,0,embedding,0.94,0.0
th-TH,time,0,embedding,0.94,0.0
el-GR,ARG0,0,embedding,0.62,0.0
el-GR,ARG1,8,layer_8,0.88,0.9347826086956522
el-GR,ARG2,12,layer_12,0.7,0.8051948051948052
el-GR,neg,0,embedding,0.94,0.0
el-GR,time,0,embedding,0.94,0.0
bn-BD,ARG0,12,layer_12,0.68,0.3333333333333333
bn-BD,ARG1,0,embedding,0.86,0.9247311827956989
bn-BD,ARG2,12,layer_12,0.7,0.810126582278481
bn-BD,neg,0,embedding,0.94,0.0
bn-BD,time,0,embedding,0.94,0.0
te-IN,ARG0,12,layer_12,0.64,0.1
te-IN,ARG1,0,embedding,0.86,0.9247311827956989
te-IN,ARG2,3,layer_3,0.68,0.8048780487804879
te-IN,neg,0,embedding,0.94,0.0
te-IN,time,0,embedding,0.94,0.0
zh-TW,ARG0,0,embedding,0.62,0.0
zh-TW,ARG1,0,embedding,0.86,0.9247311827956989
zh-TW,ARG2,12,layer_12,0.78,0.8533333333333334
zh-TW,neg,0,embedding,0.94,0.0
zh-TW,time,0,embedding,0.94,0.0
vi-VN,ARG0,0,embedding,0.62,0.0
vi-VN,ARG1,0,embedding,0.86,0.9247311827956989
vi-VN,ARG2,3,layer_3,0.7,0.810126582278481
vi-VN,neg,0,embedding,0.94,0.0
vi-VN,time,0,embedding,0.94,0.0
id-ID,ARG0,12,layer_12,0.6470588235294118,0.18181818181818182
id-ID,ARG1,0,embedding,0.8627450980392157,0.9263157894736842
id-ID,ARG2,11,layer_11,0.6862745098039216,0.7948717948717948
id-ID,neg,0,embedding,0.9411764705882353,0.0
id-ID,time,0,embedding,0.9411764705882353,0.0
zh-CN,ARG0,12,layer_12,0.64,0.1
zh-CN,ARG1,0,embedding,0.86,0.9247311827956989
zh-CN,ARG2,5,layer_5,0.68,0.8048780487804879
zh-CN,neg,0,embedding,0.94,0.0
zh-CN,time,0,embedding,0.94,0.0
it-IT,ARG0,12,layer_12,0.64,0.1
it-IT,ARG1,0,embedding,0.86,0.9247311827956989
it-IT,ARG2,1,layer_1,0.7,0.810126582278481
it-IT,neg,0,embedding,0.94,0.0
it-IT,time,0,embedding,0.94,0.0
ka-GE,ARG0,12,layer_12,0.64,0.1
ka-GE,ARG1,0,embedding,0.86,0.9247311827956989
ka-GE,ARG2,8,layer_8,0.68,0.8048780487804879
ka-GE,neg,0,embedding,0.94,0.0
ka-GE,time,0,embedding,0.94,0.0
fi-FI,ARG0,0,embedding,0.62,0.0
fi-FI,ARG1,1,layer_1,0.88,0.9347826086956522
fi-FI,ARG2,3,layer_3,0.68,0.8048780487804879
fi-FI,neg,0,embedding,0.94,0.0
fi-FI,time,0,embedding,0.94,0.0
hy-AM,ARG0,0,embedding,0.62,0.0
hy-AM,ARG1,0,embedding,0.86,0.9247311827956989
hy-AM,ARG2,0,embedding,0.66,0.7951807228915663
hy-AM,neg,0,embedding,0.94,0.0
hy-AM,time,0,embedding,0.94,0.0
da-DK,ARG0,12,layer_12,0.64,0.1
da-DK,ARG1,0,embedding,0.86,0.9247311827956989
da-DK,ARG2,5,layer_5,0.72,0.825
da-DK,neg,0,embedding,0.94,0.0
da-DK,time,0,embedding,0.94,0.0
ro-RO,ARG0,0,embedding,0.62,0.0
ro-RO,ARG1,1,layer_1,0.88,0.9347826086956522
ro-RO,ARG2,3,layer_3,0.7,0.810126582278481
ro-RO,neg,0,embedding,0.94,0.0
ro-RO,time,0,embedding,0.94,0.0
ms-MY,ARG0,12,layer_12,0.66,0.19047619047619047
ms-MY,ARG1,0,embedding,0.86,0.9247311827956989
ms-MY,ARG2,3,layer_3,0.7,0.8051948051948052
ms-MY,neg,0,embedding,0.94,0.0
ms-MY,time,0,embedding,0.94,0.0
pt-PT,ARG0,0,embedding,0.62,0.0
pt-PT,ARG1,0,embedding,0.86,0.9247311827956989
pt-PT,ARG2,3,layer_3,0.7,0.8148148148148148
pt-PT,neg,0,embedding,0.94,0.0
pt-PT,time,0,embedding,0.94,0.0
mn-MN,ARG0,0,embedding,0.62,0.0
mn-MN,ARG1,0,embedding,0.86,0.9247311827956989
mn-MN,ARG2,1,layer_1,0.7,0.8148148148148148
mn-MN,neg,0,embedding,0.94,0.0
mn-MN,time,0,embedding,0.94,0.0
ru-RU,ARG0,12,layer_12,0.68,0.2727272727272727
ru-RU,ARG1,0,embedding,0.86,0.9247311827956989
ru-RU,ARG2,2,layer_2,0.72,0.825
ru-RU,neg,0,embedding,0.94,0.0
ru-RU,time,0,embedding,0.94,0.0
cy-GB,ARG0,12,layer_12,0.64,0.1
cy-GB,ARG1,0,embedding,0.86,0.9247311827956989
cy-GB,ARG2,11,layer_11,0.7,0.8148148148148148
cy-GB,neg,0,embedding,0.94,0.0
cy-GB,time,0,embedding,0.94,0.0
de-DE,ARG0,0,embedding,0.62,0.0
de-DE,ARG1,0,embedding,0.86,0.9247311827956989
de-DE,ARG2,12,layer_12,0.72,0.825
de-DE,neg,0,embedding,0.94,0.0
de-DE,time,0,embedding,0.94,0.0
is-IS,ARG0,0,embedding,0.62,0.0
is-IS,ARG1,0,embedding,0.86,0.9247311827956989
is-IS,ARG2,1,layer_1,0.68,0.8048780487804879
is-IS,neg,0,embedding,0.94,0.0
is-IS,time,0,embedding,0.94,0.0
ja-JP,ARG0,0,embedding,0.62,0.0
ja-JP,ARG1,0,embedding,0.86,0.9247311827956989
ja-JP,ARG2,11,layer_11,0.7,0.8148148148148148
ja-JP,neg,0,embedding,0.94,0.0
ja-JP,time,0,embedding,0.94,0.0
nl-NL,ARG0,0,embedding,0.62,0.0
nl-NL,ARG1,0,embedding,0.86,0.9247311827956989
nl-NL,ARG2,1,layer_1,0.68,0.8048780487804879
nl-NL,neg,0,embedding,0.94,0.0
nl-NL,time,0,embedding,0.94,0.0
sv-SE,ARG0,0,embedding,0.62,0.0
sv-SE,ARG1,0,embedding,0.86,0.9247311827956989
sv-SE,ARG2,5,layer_5,0.7,0.8148148148148148
sv-SE,neg,0,embedding,0.94,0.0
sv-SE,time,0,embedding,0.94,0.0
az-AZ,ARG0,0,embedding,0.62,0.0
az-AZ,ARG1,0,embedding,0.86,0.9247311827956989
az-AZ,ARG2,1,layer_1,0.7,0.8148148148148148
az-AZ,neg,0,embedding,0.94,0.0
az-AZ,time,0,embedding,0.94,0.0
pl-PL,ARG0,0,embedding,0.62,0.0
pl-PL,ARG1,0,embedding,0.86,0.9247311827956989
pl-PL,ARG2,1,layer_1,0.7,0.810126582278481
pl-PL,neg,0,embedding,0.94,0.0
pl-PL,time,0,embedding,0.94,0.0
tr-TR,ARG0,12,layer_12,0.64,0.1
tr-TR,ARG1,0,embedding,0.86,0.9247311827956989
tr-TR,ARG2,3,layer_3,0.72,0.825
tr-TR,neg,0,embedding,0.94,0.0
tr-TR,time,0,embedding,0.94,0.0
km-KH,ARG0,10,layer_10,0.64,0.1
km-KH,ARG1,0,embedding,0.86,0.9247311827956989
km-KH,ARG2,0,embedding,0.66,0.7951807228915663
km-KH,neg,0,embedding,0.94,0.0
km-KH,time,0,embedding,0.94,0.0
