layer,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test,layer_name
0,ARG0,0.7053571428571429,0.0,1788,448,492,132,embedding
0,ARG1,0.8214285714285714,0.9019607843137255,1788,448,1452,368,embedding
0,ARG2,0.7388392857142857,0.8498074454428755,1788,448,1281,331,embedding
0,neg,0.9598214285714286,0.0,1788,448,86,18,embedding
0,time,0.8995535714285714,0.0,1788,448,163,45,embedding
1,ARG0,0.7276785714285714,0.18666666666666668,1788,448,492,132,layer_1
1,ARG1,0.8504464285714286,0.9148665819567979,1788,448,1452,368,layer_1
1,ARG2,0.75,0.8522427440633246,1788,448,1281,331,layer_1
1,neg,0.9598214285714286,0.0,1788,448,86,18,layer_1
1,time,0.8995535714285714,0.0,1788,448,163,45,layer_1
2,ARG0,0.7053571428571429,0.0,1788,448,492,132,layer_2
2,ARG1,0.828125,0.9045848822800495,1788,448,1452,368,layer_2
2,ARG2,0.7410714285714286,0.8497409326424871,1788,448,1281,331,layer_2
2,neg,0.9598214285714286,0.0,1788,448,86,18,layer_2
2,time,0.8995535714285714,0.0,1788,448,163,45,layer_2
3,ARG0,0.7075892857142857,0.015037593984962405,1788,448,492,132,layer_3
3,ARG1,0.8236607142857143,0.9023485784919654,1788,448,1452,368,layer_3
3,ARG2,0.7410714285714286,0.8505154639175257,1788,448,1281,331,layer_3
3,neg,0.9598214285714286,0.0,1788,448,86,18,layer_3
3,time,0.8995535714285714,0.0,1788,448,163,45,layer_3
4,ARG0,0.7433035714285714,0.22818791946308725,1788,448,492,132,layer_4
4,ARG1,0.8660714285714286,0.9240506329113924,1788,448,1452,368,layer_4
4,ARG2,0.7834821428571429,0.8701472556894244,1788,448,1281,331,layer_4
4,neg,0.9598214285714286,0.0,1788,448,86,18,layer_4
4,time,0.8995535714285714,0.0,1788,448,163,45,layer_4
5,ARG0,0.9196428571428571,0.8512396694214877,1788,448,492,132,layer_5
5,ARG1,0.9174107142857143,0.9511228533685601,1788,448,1452,368,layer_5
5,ARG2,0.8638392857142857,0.9112081513828238,1788,448,1281,331,layer_5
5,neg,0.984375,0.7586206896551724,1788,448,86,18,layer_5
5,time,0.9754464285714286,0.8674698795180723,1788,448,163,45,layer_5
6,ARG0,0.9107142857142857,0.8360655737704918,1788,448,492,132,layer_6
6,ARG1,0.921875,0.9531459170013387,1788,448,1452,368,layer_6
6,ARG2,0.8727678571428571,0.9170305676855895,1788,448,1281,331,layer_6
6,neg,0.9888392857142857,0.8387096774193549,1788,448,86,18,layer_6
6,time,0.9799107142857143,0.8941176470588236,1788,448,163,45,layer_6
7,ARG0,0.9174107142857143,0.8489795918367347,1788,448,492,132,layer_7
7,ARG1,0.9263392857142857,0.955585464333782,1788,448,1452,368,layer_7
7,ARG2,0.8660714285714286,0.9109792284866469,1788,448,1281,331,layer_7
7,neg,0.984375,0.7741935483870968,1788,448,86,18,layer_7
7,time,0.9799107142857143,0.8941176470588236,1788,448,163,45,layer_7
8,ARG0,0.9285714285714286,0.8709677419354839,1788,448,492,132,layer_8
8,ARG1,0.9241071428571429,0.9540540540540541,1788,448,1452,368,layer_8
8,ARG2,0.8861607142857143,0.9244444444444444,1788,448,1281,331,layer_8
8,neg,0.9888392857142857,0.8387096774193549,1788,448,86,18,layer_8
8,time,0.9866071428571429,0.9285714285714286,1788,448,163,45,layer_8
9,ARG0,0.8950892857142857,0.8127490039840638,1788,448,492,132,layer_9
9,ARG1,0.9174107142857143,0.9499323410013532,1788,448,1452,368,layer_9
9,ARG2,0.8705357142857143,0.9144542772861357,1788,448,1281,331,layer_9
9,neg,0.9888392857142857,0.8387096774193549,1788,448,86,18,layer_9
9,time,0.9754464285714286,0.8705882352941177,1788,448,163,45,layer_9
10,ARG0,0.8794642857142857,0.775,1788,448,492,132,layer_10
10,ARG1,0.9263392857142857,0.955585464333782,1788,448,1452,368,layer_10
10,ARG2,0.8660714285714286,0.911504424778761,1788,448,1281,331,layer_10
10,neg,0.984375,0.7586206896551724,1788,448,86,18,layer_10
10,time,0.9709821428571429,0.8470588235294118,1788,448,163,45,layer_10
11,ARG0,0.8772321428571429,0.7717842323651453,1788,448,492,132,layer_11
11,ARG1,0.9308035714285714,0.9585006693440429,1788,448,1452,368,layer_11
11,ARG2,0.8638392857142857,0.9098966026587888,1788,448,1281,331,layer_11
11,neg,0.9776785714285714,0.6153846153846154,1788,448,86,18,layer_11
11,time,0.9732142857142857,0.8571428571428571,1788,448,163,45,layer_11
12,ARG0,0.8772321428571429,0.7619047619047619,1788,448,492,132,layer_12
12,ARG1,0.9196428571428571,0.9523809523809523,1788,448,1452,368,layer_12
12,ARG2,0.8683035714285714,0.9125925925925926,1788,448,1281,331,layer_12
12,neg,0.9821428571428571,0.7142857142857143,1788,448,86,18,layer_12
12,time,0.9709821428571429,0.8433734939759037,1788,448,163,45,layer_12
