layer_name,ARG0,ARG1,ARG2,neg,time
embedding,0.6195234435049961,0.8601076095311299,0.6594926979246734,0.9400461183704842,0.9400461183704842
layer_1,0.6998462720983859,0.8608762490392006,0.6794773251345119,0.9400461183704842,0.9377401998462721
layer_2,0.681783243658724,0.8620292083013067,0.675249807840123,0.9400461183704842,0.9400461183704842
layer_3,0.7025365103766333,0.8604919292851653,0.6767870868562644,0.9400461183704842,0.9373558800922367
layer_4,0.7455803228285934,0.8585703305149884,0.7079169869331283,0.9400461183704842,0.936587240584166
layer_5,0.7609531129900077,0.8593389700230591,0.7144504227517294,0.9419677171406611,0.9485011529592621
layer_6,0.7813220599538816,0.8481936971560338,0.6979246733282091,0.9427363566487318,0.9323597232897771
layer_7,0.7728670253651038,0.8481936971560338,0.7025365103766333,0.9342813220599538,0.9404304381245197
layer_8,0.7874711760184473,0.8524212144504227,0.7148347425057648,0.9435049961568025,0.9388931591083781
layer_9,0.781706379707917,0.8547271329746349,0.6990776325903152,0.9415833973866257,0.930053804765565
layer_10,0.7663335895465027,0.8608762490392006,0.7144504227517294,0.9381245196003074,0.9277478862413528
layer_11,0.7463489623366641,0.8578016910069177,0.7044581091468102,0.9362029208301307,0.9100691775557264
layer_12,0.7605687932359724,0.8578016910069177,0.7063797079169869,0.9381245196003074,0.9142966948501153
