layer,layer_name,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test
0,embedding,ARG0,0.6195234435049961,0.0,65799,2602,20277,990
0,embedding,ARG1,0.8601076095311299,0.9247933884297521,65799,2602,55279,2238
0,embedding,ARG2,0.6594926979246734,0.7948124131542381,65799,2602,42233,1716
0,embedding,neg,0.9400461183704842,0.0,65799,2602,2686,156
0,embedding,time,0.9400461183704842,0.0,65799,2602,9085,156
1,layer_1,ARG0,0.6975403535741738,0.4191881918819188,65799,2602,20277,990
1,layer_1,ARG1,0.8589546502690238,0.9239062823968485,65799,2602,55279,2238
1,layer_1,ARG2,0.6687163720215219,0.7831991951710262,65799,2602,42233,1716
1,layer_1,neg,0.9400461183704842,0.0,65799,2602,2686,156
1,layer_1,time,0.9388931591083781,0.0,65799,2602,9085,156
2,layer_2,ARG0,0.6533435818601077,0.20176991150442478,65799,2602,20277,990
2,layer_2,ARG1,0.8608762490392006,0.9250827814569537,65799,2602,55279,2238
2,layer_2,ARG2,0.675249807840123,0.7929429061504534,65799,2602,42233,1716
2,layer_2,neg,0.9400461183704842,0.0,65799,2602,2686,156
2,layer_2,time,0.9400461183704842,0.0,65799,2602,9085,156
3,layer_3,ARG0,0.7106072252113759,0.42298850574712643,65799,2602,20277,990
3,layer_3,ARG1,0.8593389700230591,0.924192212096106,65799,2602,55279,2238
3,layer_3,ARG2,0.680630284396618,0.7897799139893752,65799,2602,42233,1716
3,layer_3,neg,0.9400461183704842,0.0,65799,2602,2686,156
3,layer_3,time,0.9400461183704842,0.0,65799,2602,9085,156
4,layer_4,ARG0,0.6940814757878555,0.3486088379705401,65799,2602,20277,990
4,layer_4,ARG1,0.8601076095311299,0.9247933884297521,65799,2602,55279,2238
4,layer_4,ARG2,0.6813989239046887,0.7966642138827569,65799,2602,42233,1716
4,layer_4,neg,0.9400461183704842,0.0,65799,2602,2686,156
4,layer_4,time,0.9400461183704842,0.0,65799,2602,9085,156
5,layer_5,ARG0,0.6421983089930823,0.14508723599632692,65799,2602,20277,990
5,layer_5,ARG1,0.8601076095311299,0.9247933884297521,65799,2602,55279,2238
5,layer_5,ARG2,0.6771714066102997,0.7963142580019399,65799,2602,42233,1716
5,layer_5,neg,0.9400461183704842,0.0,65799,2602,2686,156
5,layer_5,time,0.9400461183704842,0.0,65799,2602,9085,156
6,layer_6,ARG0,0.6191391237509608,0.002014098690835851,65799,2602,20277,990
6,layer_6,ARG1,0.8601076095311299,0.9247933884297521,65799,2602,55279,2238
6,layer_6,ARG2,0.675249807840123,0.8008484562809333,65799,2602,42233,1716
6,layer_6,neg,0.9400461183704842,0.0,65799,2602,2686,156
6,layer_6,time,0.9400461183704842,0.0,65799,2602,9085,156
7,layer_7,ARG0,0.6195234435049961,0.0,65799,2602,20277,990
7,layer_7,ARG1,0.8601076095311299,0.9247933884297521,65799,2602,55279,2238
7,layer_7,ARG2,0.6594926979246734,0.7948124131542381,65799,2602,42233,1716
7,layer_7,neg,0.9400461183704842,0.0,65799,2602,2686,156
7,layer_7,time,0.9400461183704842,0.0,65799,2602,9085,156
8,layer_8,ARG0,0.6295157571099155,0.05304518664047151,65799,2602,20277,990
8,layer_8,ARG1,0.8597232897770946,0.924571192395123,65799,2602,55279,2238
8,layer_8,ARG2,0.6637202152190622,0.794841735052755,65799,2602,42233,1716
8,layer_8,neg,0.9400461183704842,0.0,65799,2602,2686,156
8,layer_8,time,0.9400461183704842,0.0,65799,2602,9085,156
9,layer_9,ARG0,0.6245196003074558,0.0259222333000997,65799,2602,20277,990
9,layer_9,ARG1,0.8589546502690238,0.9241265247053959,65799,2602,55279,2238
9,layer_9,ARG2,0.6614142966948501,0.7946865532509905,65799,2602,42233,1716
9,layer_9,neg,0.9400461183704842,0.0,65799,2602,2686,156
9,layer_9,time,0.9400461183704842,0.0,65799,2602,9085,156
10,layer_10,ARG0,0.6548808608762491,0.20950704225352113,65799,2602,20277,990
10,layer_10,ARG1,0.8601076095311299,0.9247933884297521,65799,2602,55279,2238
10,layer_10,ARG2,0.6644888547271329,0.7936658000472702,65799,2602,42233,1716
10,layer_10,neg,0.9400461183704842,0.0,65799,2602,2686,156
10,layer_10,time,0.9400461183704842,0.0,65799,2602,9085,156
11,layer_11,ARG0,0.6452728670253651,0.16621499548328816,65799,2602,20277,990
11,layer_11,ARG1,0.8608762490392006,0.9251447477253929,65799,2602,55279,2238
11,layer_11,ARG2,0.6733282090699462,0.7915644923982345,65799,2602,42233,1716
11,layer_11,neg,0.9400461183704842,0.0,65799,2602,2686,156
11,layer_11,time,0.9400461183704842,0.0,65799,2602,9085,156
12,layer_12,ARG0,0.7843966179861644,0.6469477658904972,65799,2602,20277,990
12,layer_12,ARG1,0.857033051498847,0.9229494614747308,65799,2602,55279,2238
12,layer_12,ARG2,0.7267486548808608,0.8032106282867423,65799,2602,42233,1716
12,layer_12,neg,0.9392774788624135,0.0,65799,2602,2686,156
12,layer_12,time,0.9469638739431206,0.3490566037735849,65799,2602,9085,156
