language,layer,layer_name,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test
am-ET,0,embedding,ARG0,0.62,0.0,1272,50,395,19
am-ET,0,embedding,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,0,embedding,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,0,embedding,neg,0.94,0.0,1272,50,53,3
am-ET,0,embedding,time,0.94,0.0,1272,50,174,3
am-ET,1,layer_1,ARG0,0.62,0.0,1272,50,395,19
am-ET,1,layer_1,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,1,layer_1,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,1,layer_1,neg,0.94,0.0,1272,50,53,3
am-ET,1,layer_1,time,0.94,0.0,1272,50,174,3
am-ET,2,layer_2,ARG0,0.62,0.0,1272,50,395,19
am-ET,2,layer_2,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,2,layer_2,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,2,layer_2,neg,0.94,0.0,1272,50,53,3
am-ET,2,layer_2,time,0.94,0.0,1272,50,174,3
am-ET,3,layer_3,ARG0,0.62,0.0,1272,50,395,19
am-ET,3,layer_3,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,3,layer_3,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,3,layer_3,neg,0.94,0.0,1272,50,53,3
am-ET,3,layer_3,time,0.94,0.0,1272,50,174,3
am-ET,4,layer_4,ARG0,0.62,0.0,1272,50,395,19
am-ET,4,layer_4,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,4,layer_4,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,4,layer_4,neg,0.94,0.0,1272,50,53,3
am-ET,4,layer_4,time,0.94,0.0,1272,50,174,3
am-ET,5,layer_5,ARG0,0.62,0.0,1272,50,395,19
am-ET,5,layer_5,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,5,layer_5,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,5,layer_5,neg,0.94,0.0,1272,50,53,3
am-ET,5,layer_5,time,0.94,0.0,1272,50,174,3
am-ET,6,layer_6,ARG0,0.62,0.0,1272,50,395,19
am-ET,6,layer_6,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,6,layer_6,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,6,layer_6,neg,0.94,0.0,1272,50,53,3
am-ET,6,layer_6,time,0.94,0.0,1272,50,174,3
am-ET,7,layer_7,ARG0,0.62,0.0,1272,50,395,19
am-ET,7,layer_7,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,7,layer_7,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,7,layer_7,neg,0.94,0.0,1272,50,53,3
am-ET,7,layer_7,time,0.94,0.0,1272,50,174,3
am-ET,8,layer_8,ARG0,0.62,0.0,1272,50,395,19
am-ET,8,layer_8,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,8,layer_8,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,8,layer_8,neg,0.94,0.0,1272,50,53,3
am-ET,8,layer_8,time,0.94,0.0,1272,50,174,3
am-ET,9,layer_9,ARG0,0.62,0.0,1272,50,395,19
am-ET,9,layer_9,ARG1,0.84,0.9130434782608695,1272,50,1076,43
am-ET,9,layer_9,ARG2,0.68,0.8048780487804879,1272,50,824,33
am-ET,9,layer_9,neg,0.94,0.0,1272,50,53,3
am-ET,9,layer_9,time,0.94,0.0,1272,50,174,3
am-ET,10,layer_10,ARG0,0.62,0.0,1272,50,395,19
am-ET,10,layer_10,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,10,layer_10,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,10,layer_10,neg,0.94,0.0,1272,50,53,3
am-ET,10,layer_10,time,0.94,0.0,1272,50,174,3
am-ET,11,layer_11,ARG0,0.62,0.0,1272,50,395,19
am-ET,11,layer_11,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,11,layer_11,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,11,layer_11,neg,0.94,0.0,1272,50,53,3
am-ET,11,layer_11,time,0.94,0.0,1272,50,174,3
am-ET,12,layer_12,ARG0,0.64,0.1,1272,50,395,19
am-ET,12,layer_12,ARG1,0.86,0.9247311827956989,1272,50,1076,43
am-ET,12,layer_12,ARG2,0.66,0.7951807228915663,1272,50,824,33
am-ET,12,layer_12,neg,0.94,0.0,1272,50,53,3
am-ET,12,layer_12,time,0.94,0.0,1272,50,174,3
es-ES,0,embedding,ARG0,0.62,0.0,1272,50,390,19
es-ES,0,embedding,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,0,embedding,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,0,embedding,neg,0.94,0.0,1272,50,53,3
es-ES,0,embedding,time,0.94,0.0,1272,50,182,3
es-ES,1,layer_1,ARG0,0.62,0.0,1272,50,390,19
es-ES,1,layer_1,ARG1,0.84,0.9130434782608695,1272,50,1071,43
es-ES,1,layer_1,ARG2,0.66,0.7901234567901234,1272,50,820,33
es-ES,1,layer_1,neg,0.94,0.0,1272,50,53,3
es-ES,1,layer_1,time,0.94,0.0,1272,50,182,3
es-ES,2,layer_2,ARG0,0.62,0.0,1272,50,390,19
es-ES,2,layer_2,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,2,layer_2,ARG2,0.66,0.7901234567901234,1272,50,820,33
es-ES,2,layer_2,neg,0.94,0.0,1272,50,53,3
es-ES,2,layer_2,time,0.94,0.0,1272,50,182,3
es-ES,3,layer_3,ARG0,0.62,0.0,1272,50,390,19
es-ES,3,layer_3,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,3,layer_3,ARG2,0.68,0.8048780487804879,1272,50,820,33
es-ES,3,layer_3,neg,0.94,0.0,1272,50,53,3
es-ES,3,layer_3,time,0.94,0.0,1272,50,182,3
es-ES,4,layer_4,ARG0,0.62,0.0,1272,50,390,19
es-ES,4,layer_4,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,4,layer_4,ARG2,0.68,0.8048780487804879,1272,50,820,33
es-ES,4,layer_4,neg,0.94,0.0,1272,50,53,3
es-ES,4,layer_4,time,0.94,0.0,1272,50,182,3
es-ES,5,layer_5,ARG0,0.62,0.0,1272,50,390,19
es-ES,5,layer_5,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,5,layer_5,ARG2,0.68,0.8048780487804879,1272,50,820,33
es-ES,5,layer_5,neg,0.94,0.0,1272,50,53,3
es-ES,5,layer_5,time,0.94,0.0,1272,50,182,3
es-ES,6,layer_6,ARG0,0.62,0.0,1272,50,390,19
es-ES,6,layer_6,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,6,layer_6,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,6,layer_6,neg,0.94,0.0,1272,50,53,3
es-ES,6,layer_6,time,0.94,0.0,1272,50,182,3
es-ES,7,layer_7,ARG0,0.62,0.0,1272,50,390,19
es-ES,7,layer_7,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,7,layer_7,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,7,layer_7,neg,0.94,0.0,1272,50,53,3
es-ES,7,layer_7,time,0.94,0.0,1272,50,182,3
es-ES,8,layer_8,ARG0,0.62,0.0,1272,50,390,19
es-ES,8,layer_8,ARG1,0.86,0.9247311827956989,1272,50,1071,43
es-ES,8,layer_8,ARG2,0.66,0.7951807228915663,1272,50,820,33
es-ES,8,layer_8,neg,0.94,0.0,1272,50,53,3
es-ES,8,layer_8,time,0.94,0.0,1272,50,182,3
es-ES,9,layer_9,ARG0,0.62,0.0,1272,50,390,19
